    °„C	        No	    CH0	            CH1	            CH2	            CH3
22.686	226	0.1147130796	2233.5630198457	0.4883644872	-0.2250186339
22.702	227	0.1147196361	2232.3839206924	0.4883351617	-0.2251545325
22.714	228	0.1147244045	2231.2079507832	0.4883052402	-0.2253191605
22.724	229	0.1147284576	2230.0257223860	0.4882754378	-0.2254865304
22.734	230	0.1147326299	2228.8409905935	0.4882449203	-0.2256645099
22.745	231	0.1147370407	2227.6575104986	0.4882153564	-0.2258234159
22.755	232	0.1147412130	2226.4721528573	0.4881851964	-0.2259889976
22.765	233	0.1147452661	2225.2724006934	0.4881550365	-0.2261496917
22.776	234	0.1147496769	2224.0870430521	0.4881241613	-0.2263153926
22.793	235	0.1147569486	2222.8891684347	0.4880960279	-0.2264751331
22.799	236	0.1147590944	2221.6912938172	0.4880652719	-0.2266352312
22.822	237	0.1147687504	2220.4946708974	0.4880373769	-0.2267935411
22.828	238	0.1147712538	2219.2911636407	0.4880061440	-0.2269505398
22.841	239	0.1147763798	2218.0895339304	0.4879750304	-0.2271092073
22.850	240	0.1147803137	2216.8747613951	0.4879420094	-0.2272657291
22.867	241	0.1147868702	2215.6700024408	0.4879126840	-0.2274154560
22.877	242	0.1147911617	2214.4602366960	0.4878821664	-0.2275698321
22.893	243	0.1147977182	2213.2442124632	0.4878514104	-0.2277246849
22.903	244	0.1148018905	2212.0306916255	0.4878200583	-0.2278611796
22.915	245	0.1148065397	2210.8077830558	0.4877900176	-0.2280210392
22.926	246	0.1148110697	2209.5961397646	0.4877591424	-0.2281550305
22.944	247	0.1148184606	2208.3738570436	0.4877273135	-0.2282856839
22.947	248	0.1148197719	2207.1509484739	0.4876954846	-0.2284150260
22.956	249	0.1148235866	2205.9292916017	0.4876641326	-0.2285436528
22.979	250	0.1148327657	2204.7032537879	0.4876325421	-0.2286729949
22.992	251	0.1148382494	2203.4784676718	0.4876025014	-0.2287964957
23.001	252	0.1148418257	2202.2474230675	0.4875697188	-0.2289166587
23.012	253	0.1148462364	2201.0220111026	0.4875359826	-0.2290358680
23.027	254	0.1148526737	2199.7903406495	0.4875070147	-0.2291785615
23.040	255	0.1148577997	2198.5555409524	0.4874731593	-0.2293181556
23.055	256	0.1148638794	2197.3251221970	0.4874407344	-0.2294565576
23.068	257	0.1148693630	2196.0834381630	0.4874109320	-0.2295998472
23.074	258	0.1148718664	2194.8517677100	0.4873771958	-0.2297399181
23.085	259	0.1148763964	2193.6075802808	0.4873464398	-0.2298728365
23.097	260	0.1148810455	2192.3652703980	0.4873150878	-0.2300076622
23.117	261	0.1148891517	2191.1204571200	0.4872811131	-0.2301465410
23.121	262	0.1148910591	2189.8762696908	0.4872501187	-0.2302841085
23.135	263	0.1148966619	2188.6333339592	0.4872156672	-0.2304216761
23.150	264	0.1149028608	2187.3803846467	0.4871857457	-0.2305572170
23.167	265	0.1149097750	2186.1336938222	0.4871528439	-0.2306907314
23.179	266	0.1149147817	2184.8819962074	0.4871200613	-0.2308297295
23.195	267	0.1149210998	2183.6234142556	0.4870895438	-0.2309609789
23.213	268	0.1149286100	2182.3767234312	0.4870529465	-0.2310696978
23.223	269	0.1149326631	2181.1225224210	0.4870219521	-0.2311813969
23.234	270	0.1149373123	2179.8676955621	0.4869898848	-0.2312909503
23.244	271	0.1149413654	2178.6041068199	0.4869563870	-0.2314000268
23.257	272	0.1149466106	2177.3492799609	0.4869220547	-0.2315102954
23.263	273	0.1149491140	2176.0888204628	0.4868911795	-0.2316084046
23.279	274	0.1149554321	2174.8252317205	0.4868555359	-0.2317086596
23.291	275	0.1149606773	2173.5666497687	0.4868228726	-0.2318080802
23.304	276	0.1149659225	2172.3024351777	0.4867910437	-0.2319206138
23.316	277	0.1149705717	2171.0400981331	0.4867575459	-0.2320299287
23.333	278	0.1149777243	2169.7758835421	0.4867227368	-0.2321405549
23.341	279	0.1149810621	2168.5110431022	0.4866924576	-0.2322479625
23.362	280	0.1149894068	2167.2430734183	0.4866566948	-0.2323548932
23.375	281	0.1149948904	2165.9726003392	0.4866228394	-0.2324565788
23.390	282	0.1150009701	2164.7046306553	0.4865896992	-0.2325656553
23.398	283	0.1150041887	2163.4341575762	0.4865571550	-0.2326897521
23.419	284	0.1150128910	2162.1636844971	0.4865211538	-0.2328118225
23.432	285	0.1150180170	2160.8938372668	0.4864900402	-0.2329372306
23.443	286	0.1150226662	2159.6183573972	0.4864541582	-0.2330584665
23.459	287	0.1150291035	2158.3478843181	0.4864218525	-0.2331787487
23.471	288	0.1150339910	2157.0717785997	0.4863863281	-0.2333008190
23.486	289	0.1150401899	2155.8000538230	0.4863549761	-0.2334114452
23.501	290	0.1150462696	2154.5214447094	0.4863194517	-0.2335093161
23.514	291	0.1150518724	2153.2428355958	0.4862858347	-0.2336032530
23.529	292	0.1150580713	2151.9661040286	0.4862503103	-0.2336930176
23.539	293	0.1150618860	2150.6925017054	0.4862155012	-0.2337864777
23.551	294	0.1150668928	2149.4151442894	0.4861827186	-0.2338812491
23.566	295	0.1150728533	2148.1321542342	0.4861471943	-0.2339668413
23.580	296	0.1150785753	2146.8547968182	0.4861144117	-0.2340574404
23.597	297	0.1150854895	2145.5730584605	0.4860817484	-0.2341551920
